COD_DPTO,year,Departamento,Zona,INSE,Lectura_critica,libros_1,libros_2,libros_3,libros_4,Porcentaje_flias_menos10libros
94,2019,Guainía,Rural (>75% mpios),42.183662,50.461956,.59393942,.2,.16363636,.042424243,59.393944
94,2020,Guainía,Rural (>75% mpios),47.230473,50.170105,.50543481,.23369566,.19565217,.065217391,50.54348
95,2018,Guaviare,Rural (>75% mpios),45.088924,48.971886,.50167227,.27647716,.16722408,.054626532,50.167229
95,2019,Guaviare,Rural (>75% mpios),44.826756,47.757843,.51891893,.26054054,.16540541,.055135135,51.891891
95,2020,Guaviare,Rural (>75% mpios),46.869011,48.755226,.49429658,.28010139,.16603296,.059569076,49.429657
97,2018,Vaupés,Rural (>75% mpios),39.609741,44.269123,.60383385,.24600638,.092651755,.057507988,60.383385
97,2019,Vaupés,Rural (>75% mpios),39.990826,44.784481,.59695816,.23574145,.121673,.045627378,59.695816
97,2020,Vaupés,Rural (>75% mpios),41.897572,44.280407,.54873645,.24548736,.15162455,.054151624,54.873646
99,2018,Vichada,Rural (>75% mpios),43.575386,48.328243,.52742618,.28691983,.1329114,.052742615,52.742619
99,2019,Vichada,Rural (>75% mpios),43.063763,47.60479,.57111597,.26914662,.12691467,.032822758,57.111595
99,2020,Vichada,Rural (>75% mpios),44.346191,46.868217,.54545456,.27272728,.12929294,.052525252,54.545456
